,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,skills
300,Data Scientist,Teamwork,IT skills,Analysis,Mathematics,Statistics,Analytical Skills,unknown,['unknown'],unknown,,,,,,,,,,"['Teamwork', 'IT skills', 'Analysis', 'Mathematics', 'Statistics', 'Analytical Skills']"
301,Machine Learning Specialist,Clustering,Supervised Learning,Classification,Predictive Modeling,MySQL,PostgreSQL,Skills: Natural Language Processing (NLP) · Python web · Data Science · Machine Learning · Deep Learning · Recommender Systems,['Skills: Natural Language Processing (NLP) · Python web · Data Science · Machine Learning · Deep Learning · Recommender Systems'],Skills: Natural Language Processing (NLP) · Python web · Data Science · Machine Learning · Deep Learning · Recommender Systems,,,,,,,,,,"['Clustering', 'Supervised Learning', 'Classification', 'Predictive Modeling', 'MySQL', 'PostgreSQL']"
302,Senior Data Scientist,Python (Programmiersprache),Data Science,Projektmanagement,Motor industry,Big Data,Prozessmanagement,"- Analyzing of real car data
- Creating machine learning models for prevention of the vehicle state","['- Analyzing of real car data', '- Creating machine learning models for prevention of the vehicle state']",- Analyzing of real car data,- Creating machine learning models for prevention of the vehicle state,,,,,,,,,"['Python (Programmiersprache)', 'Data Science', 'Projektmanagement', 'Motor industry', 'Big Data', 'Prozessmanagement']"
303,Python Engineer,Data Science,Mathematics,IT developer,Project management,Strategic planning,Computer Science,unknown,['unknown'],unknown,,,,,,,,,,"['Data Science', 'Mathematics', 'IT developer', 'Project management', 'Strategic planning', 'Computer Science']"
304,Senior Data Scientist,Physics,Science,LaTeX,Astrophysics,Python,Research,unknown,['unknown'],unknown,,,,,,,,,,"['Physics', 'Science', 'LaTeX', 'Astrophysics', 'Python', 'Research']"
305,Data Scientist,Optimal control,Common differential equities,Julia,Research,Study of time series,Python (programming language),unknown,['unknown'],unknown,,,,,,,,,,"['Optimal control', 'Common differential equities', 'Julia', 'Research', 'Study of time series', 'Python (programming language)']"
306,Data Scientist,Google Analytics,Management,Machine Learning,Software Development,Deep Learning,Object-Oriented Programming (OOP),unknown,['unknown'],unknown,,,,,,,,,,"['Google Analytics', 'Management', 'Machine Learning', 'Software Development', 'Deep Learning', 'Object-Oriented Programming (OOP)']"
307,Engineer - Researcher,Matlab,C,C++,Programming,Simulations,Microcontrollers,"Engineer - Researcher, Speciality : Applied Mathematics/ Computer Science/Control Theory.","['Engineer - Researcher, Speciality : Applied Mathematics/ Computer Science/Control Theory.']","Engineer - Researcher, Speciality : Applied Mathematics/ Computer Science/Control Theory.",,,,,,,,,,"['Matlab', 'C', 'C++', 'Programming', 'Simulations', 'Microcontrollers']"
308, Power Platform Developer,Decision-making informatics,Python,C,Big Data,Talend,Data Warehouse,unknown,['unknown'],unknown,,,,,,,,,,"['Decision-making informatics', 'Python', 'C', 'Big Data', 'Talend', 'Data Warehouse']"
309,Associate Python Developer,Jenkins,Amazon Web Services (AWS),Python (Programming Language),JavaScript,C (Programming Language),Linux System Administration,"Working for the fastest growing top tier consulting, IT services & BPS company.
Working as a consultant to the company's clients","['Working for the fastest growing top tier consulting, IT services & BPS company.', ""Working as a consultant to the company's clients""]","Working for the fastest growing top tier consulting, IT services & BPS company.",Working as a consultant to the company's clients,,,,,,,,,"['Jenkins', 'Amazon Web Services (AWS)', 'Python (Programming Language)', 'JavaScript', 'C (Programming Language)', 'Linux System Administration']"
310,Head of Recommendations,sql,Python,Analiza danych biznesowych,Marketing Research,Marketing,Marketing Communications,unknown,['unknown'],unknown,,,,,,,,,,"['sql', 'Python', 'Analiza danych biznesowych', 'Marketing Research', 'Marketing', 'Marketing Communications']"
311,Deployment Strategist,Python,SQL,Machine Learning,Statistical Data Analysis,Current Science,Mergers & Acquisitions,unknown,['unknown'],unknown,,,,,,,,,,"['Python', 'SQL', 'Machine Learning', 'Statistical Data Analysis', 'Current Science', 'Mergers & Acquisitions']"
312,Business Intelligence Developer,SQL Server Integration Services (SSIS),SQL Server Management Studio,SQL,Spring Boot,Angular,Data analysis,unknown,['unknown'],unknown,,,,,,,,,,"['SQL Server Integration Services (SSIS)', 'SQL Server Management Studio', 'SQL', 'Spring Boot', 'Angular', 'Data analysis']"
313,Internal Business Intelligence ,Redmine,Microsoft Power BI,Talend Open Studio,R,Big data,Deep learning,"Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:
> Dashboard with plots, charts, filters about the project, tickets and their managers.
> Follow-up of the status of a task(Ticket) and its deadlines.
> Team performance monitoring and the advancement of the sprint.
> Advancement of the sprint.
> Generation of business production plans.
> Identification of project monitoring indicators (PPIs).","['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,,,,"['Redmine', 'Microsoft Power BI', 'Talend Open Studio', 'R', 'Big data', 'Deep learning']"
314,Business Intelligence Trainee,"Extract, Transform, Load (ETL)",Leadership,Engineering,Project management,RStudio,.NET Core,"Skills: Extract, Transform, Load (ETL) · Microsoft Power BI","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",,,,,,,,,,"['Extract, Transform, Load (ETL)', 'Leadership', 'Engineering', 'Project management', 'RStudio', '.NET Core']"
315,Internship in engineering,Machine learning algorithms,PostgreSQL,Python (programming language),Project management,Java,.NET framework,unknown,['unknown'],unknown,,,,,,,,,,"['Machine learning algorithms', 'PostgreSQL', 'Python (programming language)', 'Project management', 'Java', '.NET framework']"
316,Development of a partner portal,E-commerce,Digital marketing,Decision-making informatics,Teamwork,Project management,Customer Relationship Management (CRM),"CRM
Dynamic 365
Power BI","['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,,,,,,,,"['E-commerce', 'Digital marketing', 'Decision-making informatics', 'Teamwork', 'Project management', 'Customer Relationship Management (CRM)']"
317,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
318,unknown,Microsoft Dynamics CRM,Python (programming language),Talend,Microsoft Power BI,Microsoft SQL Server,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['Microsoft Dynamics CRM', 'Python (programming language)', 'Talend', 'Microsoft Power BI', 'Microsoft SQL Server', 'unknown']"
319,Data Analyst,Power BI,Talend,Python,"Extract, transform, load (ETL)",Data analysis,SQL Server Integration Services (SSIS),unknown,['unknown'],unknown,,,,,,,,,,"['Power BI', 'Talend', 'Python', 'Extract, transform, load (ETL)', 'Data analysis', 'SQL Server Integration Services (SSIS)']"
320,Business Intelligence Developer,Microsoft Power BI,Python (programming language),R (programming language),Spring Boot,.NET framework,Project management,"Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.
this solution based on 3 steps:
1/Data prepertion: data clearing with Python and R
2/Elaborate the modelling phase
3/Creating a predictive model","['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,,,,,,"['Microsoft Power BI', 'Python (programming language)', 'R (programming language)', 'Spring Boot', '.NET framework', 'Project management']"
321,Teacher trainer ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
322,unknown,R (Programming Language),HTML,Business Intelligence (BI),.NET Framework,Spring Boot,SQL Server Integration Services (SSIS),unknown,['unknown'],unknown,,,,,,,,,,"['R (Programming Language)', 'HTML', 'Business Intelligence (BI)', '.NET Framework', 'Spring Boot', 'SQL Server Integration Services (SSIS)']"
323,BI Consultant,Java,C,JavaScript,Talend Open Studio,Power BI,Data analysis,unknown,['unknown'],unknown,,,,,,,,,,"['Java', 'C', 'JavaScript', 'Talend Open Studio', 'Power BI', 'Data analysis']"
324,Business Intelligence Internal,Telecommunications,Microsoft Word,Strategic planning,Business intelligence,Big data,Data analysis,unknown,['unknown'],unknown,,,,,,,,,,"['Telecommunications', 'Microsoft Word', 'Strategic planning', 'Business intelligence', 'Big data', 'Data analysis']"
325,web3 developer,PHP,HTML5,JavaScript,HTML,Node.js,Laravel,I'm currently a we3 developer at Lightency.,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,,,,,,,,,,"['PHP', 'HTML5', 'JavaScript', 'HTML', 'Node.js', 'Laravel']"
