,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,headline,jobTitle2,jobDescription2,currentJob,pastJob,job
12,AI Engineer,Docker Products,Feature Engineering,Artificial Neural Networks,ANOVA,Django,Recurrent Neural Networks (RNN),"Processing leads signal in order to automate ECG Classifying :
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Exploratory Data Analysis: extract the metadata from ECG images using EasyOCR and Keras, other patients information and have an idea about the ECG disease distribution.
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Image processing : cropping each ECG image to 12 leads, process each signal of lead using Gaussan, threeshold_otsu, MinMaxScaler and OpenCv,Skimage in order to save it as csv file.
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Create a classification base model using ANN, CNN and RNN deep learning algorithms.
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Hyperparameter tuning using keras tuner and optuna in order to improve model accuracy and lower model loss.",Data Engineer - Data Scientist,Data Scientist,"Development of a comparison and recommendation solution from e-commerce sites using the Crisp-dm methodology to make a prediction model:
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Scrapping of e-commerce sites (Amazon) using Scrapy and Junglescout.
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Data preparation, make the necessary transformations on quantitative variables such as price, imputation of missing data using KNN, encoding of qualitative variables in order to be consumed by our models.
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Evaluate the potential of products in real time and analysis the price to be optimized.
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Use a recommendation model based on ratings, reviews, sales to approximate the best price or product to predict.
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Evaluate the model for best accuracy value and least loss value.
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Deploy the solution in a web application using Django.
- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Containerize the application using Docker.",unckown,unckown,unckown
13,Project Internal,Machine Learning,C++,C (Programming Language),Python (Programming Language),Natural Language Processing (NLP),JavaScript,"Micro-internship program that was launched by coworky. The goal was to develop 4 different projects in one month for 4 companies (Evey Technologies, Fogits - Odoo Silver Partner, Shop My Influence and Think-it)",AI engineering Student at Esprit,Data Scientist,I worked on a digital identity process for mobile financial services in order to reduce the risk of identity fraud using optimal character recognition.,unckown,unckown,unckown
14,Data Scientist,Business intelligence,R,Python,Time Series Analysis,Machine Learning,Data Warehouse,unckown,Junior Data Scientist ,Graduation Project Internship,unckown,unckown,unckown,unckown
15,Data Scientist,Linux,Jira,Data Science,Python,machine learning,Deep Learning,"• Customer Segmentation for a Retail Company: Conducted a data-driven analysis to identify key customer segments for a retail company. The segmentation was based on demographic, purchasing behavior, and sentiment analysis. The insights generated from this project were used to inform targeted marketing campaigns and personalize the customer experience.
• Analyzed datasets and communicated insights to business managers to assist with data‐driven decision making.
• Developed dashboards and reports that communicate a story and provide visualization of data in a way that can be best used.
• Assessed business processes and recommended data science solutions to improve efficiency.
• Developed a similar system to identify new errors introduced in the system, improving the matching process and handling their resolution
as well as classifying them according to fixing complexity.
Keywords : Python, Pandas, Numpy, Matplotlib, Deep Learning, Transformers, Bert, Flask, Rest API, streamlit, Automation",Data Scientist,Data Scientist,"Platform recruitment
• Collaborated with various platform end‐users to analyse and determine their data requirements, as well as offers data solutions to
Optimize platform use.
• Developed a matching algorithm in Python that matches potential candidates to jobs on the platform to save time and increase the search
process.
• Created a summe parser and a linkedin scraper in Python that extracts candidates information from resumes or linkedin profiles in order to
auto‐complete their account on the platform and these speed‐up the fill process.
• Deployed and documented all the developed solutions on AWS EC2 instances and assisted the developers team in their integration
process on the platform.
Keywords : Python, NLP, REST API, Flask, Scrum, AWS, Deepl Learning, Human resource
Renault Group
• Identified valuable data sources and managed the collection process.
• Prepared reports and data viewing in order to communicate insights to PMs and client members.
• Created an automatic bug categorization system, reducing the time snake on bug processing, assigning them to the appropriate technical
team and prioritizing them based on severity.
• Developed a bug recommendation system in order to group them by maintenance topics.
Keywords : Data Visualization, Python, NLP, TensorFlow, Transformers, REST API, Flask, Scrum, AWS, Deepl Learning, streamlit, Automotive
Airbus
• Developed a chatbot which looks to handle different types of NLQ tasks.
• Analyzed and implemented research papers in the NLP field.
• Trained and integrated state of the art models that handle Question Answering over text documents and SQL querying and Knowledge
Graphs Databases.
Keywords : NLP, Scrum, Transformers, Bert, LSTM, GRU, NetworkX, Chatterbot, Pytorch, Python, Aeronautics",unckown,unckown,unckown
16,Alumni,Python,Go,SQL No,c/,PL/SQL,HTML,unckown,"Data Scientist, Deeplearning.ai ambassador, Social Entrepreneur, Cryptocurrence enthusiasm",Active Member,unckown,unckown,unckown,unckown
17,Data Science & Artificial Intelligence Internal,Automatic learning,Deep learning,Data science,Artificial Intelligence (AI),Information technology,Big data,"Development of an Artificial Intelligence CV analysis solution which consists of identifying and extracting the different sections of a CV downloaded by a candidate and saving them in a file for future uses.
Technologies and tools used : Ubuntu, VMWare, Python, Machine Learning, NLP, OCR, Computer Vision,
Django Rest Framework, React JS",IT Engineer / Data Scientist,Data Science Internal,"Development of a Telecom fraud detection platform in a Big Data environment:
- Collecting data from CDR files and storing in the database
- Real-time data processing with Kafka and Spark to develop fraudulent rules and raise alarms
- Development of a web interface to display alarms",unckown,unckown,unckown
18,Technical Coach,Python,Data exploration,Automatic learning,Git,SQL,C++,unckown,Data Science Enthusiast,Data Scientist Research Intern,"The accurate estimate of learner-s level of self-regulation is important in order to provide the student with adaptive support in his life long learning process to ensure the professional development. To this end, this work liked at predict the level of self-regulation of the learner based on the probabilities of acquiring each of his metacognitive skills. In order to do this, we applied one of the artificial intelligence techniques in learner modelling to implement a Bayesian model trained with scores' Dataset by choosing the appropriate machine learning algorithm.",unckown,unckown,unckown
19,Data Engineer,Python,Artificial intelligence,Machine Learning,Data Warehouse,Big Data,Java,"Key Responsibilities:

• Build data systems and pipelines
• Prepare data for predictive and predictive modelling
• Build algorithms and prototypes
• Combine raw information from different sources
• Explore ways to enhance data quality and reliability
• Identify opportunities for data acquisition
• Collaborate with data scientists and architects on several projects",Data Engineer,Data Scientist,"Mission : Study of customer segmentation factors and classification of money laundering indicators to improve anti-money raising risk models 

Key words: Python, Data Analysis, Factor Analysis, H2O AutoML, Talend, PostgreSQL, PowerBI, Bayesian Network.",unckown,unckown,unckown
20,Data Scientist,Python,machine learning,Deep learning,Java,C,JavaScript,"Development an application for lead generation.
• Web scraping to retrieve data from Job Search websites : Linkedin, Indeed and
Welcome to the jungle.
• Cleaning and normalization of recovered data with NLP techniques.
• Topic modelling (LDA, Bertopic).
• Creation of an application for the visualization of dashboards and the lead
Generation.
–Technologies : Python, Selenium, Beautiful Soup, Web Scraping, NLP,
AI Algorithms, MongoDB, Power BI, Python Flask.",Data Science student,Data Science Internal,"Analysis of calls for trends and identification of their real contexts using Topic modelling
–Preparation of data with NLP techniques: processing of calls for trends using
the nltk and peopleim packages for tokenization, lemmatization, creation of bigrams and trigrams,
Elimination of stopwords
–Application of Topic modelling on tender opportunities in order to better extract their categories (LDA, BERTOPIC)
– Labeling of generalised topics
–Visualization of data and creation of dashboards with Metabase
Technologies: Python, Pandas, Numpy, Matplotlib, NLTK, Gensim, LDA, TF-IDF, Bertopic, MongoDB",unckown,unckown,unckown
21,Data scientist,Apache Airflow,Amazon Web Services,Machine Learning,Business Intelligence (BI),Artificial Intelligence (AI),Cloud Computing,"Extract data from multiple sources and store it within AWS tools through data pipelines, transform raw data into meaningful information explored in dashboards, explore ways to enhance data quality and reliability, work close with customers and product teams to translate their business requirements into technical solutions, train deep learning models for outfit recommendations, object detection and entity extraction from images, automata data pipelines using Airflow dags.

Technologies : Python, SQL, MongoDB, AWS, AWS Glue, AWS Athena, AWS S3, AWS Quicksight, AWS Lambda, Tensorflow, Azure MachineLearning, Mixpanel, Bitbucket, Jira, Airflow",Data Scientist at Save Your Wardrobe,Data scientist abroad,"Create a Recommendation System engine based on artificial intelligence approaches segmented into 3 solutions: Clothing detection, Items recommender system and Outfit recommender system.

Technologies : Deep Learning, Object detection, Python, AWS, Tensorflow, Pytorch, Natural Language Processing, Git, Jira",unckown,unckown,unckown
22,Internal,Java8,HTML,Symfony Framework,WordPress,Python (programming language),C (programming language),"Platform for monitoring, control and abnormal children's behavior detection.
Establishment machine learning and deep learning algorithms to create a model that allows the automatic detection of the abnormal children's behavior and to help in the management of the detected cases.
key words: Python, Machine learning, NLP,Transformer, Talend, PostgreSQL, Power BI, Pycharm, GitHub",Data scientist,Internal,"Recommendation system based on knowledge of project risk management:
Development of an application which serves to guide risk matching to project risk management book. This is based on an automatic search process and the modelling of a PRM ontology
Key words: NLP, spacy, NLTK, jena,PRM-ontology,tokenization,Pos tagging,Machine learning,deep learning...",unckown,unckown,unckown
23,Data Engineer - Data Scientist,Databases,Machine Learning,Big Data Analysis,"Extract, Transform, Load (ETL)",Alteryx,SQL,unckown,DevOps Intern In Inetum,Data Analyst,"Modeling and implementation of a Bl solution to automate and analyze a database
data to ensure the entire ETL process and deliver a dashboard to the client to perform a descriptive analysis using Alteryx, MySQL and QlikSense",unckown,unckown,unckown
24,Data Scientist,Apache Airflow,Microsoft Azure Machine Learning,spaCy,Data Modeling,Data Integration,Data Wrangling,"-Extracting data from multiple sources and storing it within AWS Data Lake through Data Pipelines.
Skills: S3, Glue, Athena, Redshift, Mixpanel, Mongodb, Apache Airflow
-Executing ETL pipelines on wide data using Apache Spark. 
-Measuring user engagement and resonant, working on customer segmentation and transforming data into meaningful information explored in dashboards.
Skills: Mixpanel, MongoCharts, Quicksight and PowerBI, Dash
-Working close with customers and product team to translate their business requirements into technical solutions by preparing road maps and product vision.
-Training models for outfit recommendations, object detection and attribute extraction.
Skills: pytorch, python, tensorflow, flask, fast api, docker, azure, aws EC2, SpaCy, machine learning, Bitbucket, confluence, lambda function, aws ECR","Data Scientist, Data Engineer, Scrum Master at Save Your Wardrobe",Data Science Internal,"Training models to classify orders emails to fashion, non fashion emails, then extracting information related to items (Designation, Colour, Size, Price) and store it in a non relational database.
Skills: Mongolia, python, bitbucket, entity recognition, text classification",unckown,unckown,unckown
